DexNum,Name,BaseStats,Types,CatchRate,EvoStage,Evs,WildHeldItem1,WildHeldItem2,WildHeldItem3,Gender(N=-1),HatchCycles,BaseFriendship,EXPGrowth,EggGroup1,EggGroup2,Ability1,Ability2,AbilityH,FormSprite,FormCount,Color,IsPresentInGame,BaseEXP,DexHeight_Weight,fields_sec1,Icon,"unused(4E,50)",fields_sec2,EvoBaseID,FormIndex,IsGalarianForm,IsBoxLegend,DexNumber,field_sec3,Unknown,field_sec4,Unused(A6)
#107,Hitmonchan,50~105~79~76~35~110,FIGHTING!FIGHTING,45,2,0~0~0~0~0~2~0,item.none,item.none,item.none,GENDER_RATIO_M100F0,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_human_like,egggroup.egg_group_human_like,ability.keen_eye,ability.iron_fist,ability.inner_focus,0,1,5,1,159,140!502,59!0!224!131!134!15!1!136!0!152!2!0!0!0!0!0!0!0!130!116!16!12!8!0!33!1!1!8!32!128!0!0,107,0!0,0!0,236,0,0,0,107,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!40!0!75!20!0!0!0!0!2!0!3!0!2!3!3!3!3!4!3,1~1~1~2~2~5~5~4~4~5~2~2~4~4~5,0!0!0!0!612!0!8!0!612!8,0
#108,Lickitung,90~55~75~30~60~75,NORMAL!NORMAL,0,0,2~0~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_monster,egggroup.egg_group_monster,ability.own_tempo,ability.oblivious,ability.cloud_nine,0,0,0,1,77,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,108,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#109,Koffing,40~65~95~35~60~45,POISON!POISON,190,1,0~0~1~0~0~0~0,item.none,item.smoke_ball,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_amorphous,egggroup.egg_group_amorphous,ability.levitate,ability.neutralizing_gas,ability.stench,0,1,6,1,68,60!10,0!0!177!131!198!0!0!6!0!20!0!0!0!0!0!0!0!0!4!131!80!12!42!0!80!4!0!64!0!8!0!0,109,0!0,0!0,109,0,0,0,109,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!50!0!80!40!0!0!0!0!2!0!3!0!3!3!6!6!5!5!4,1~1~1~1~1~5~5~4~4~5~2~2~4~4~5,0!0!0!0!139!0!188!0!92!188,0
#110,Weezing,65~90~120~60~85~70,POISON!POISON,60,2,0~0~2~0~0~0~0,item.none,item.smoke_ball,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_amorphous,egggroup.egg_group_amorphous,ability.levitate,ability.neutralizing_gas,ability.stench,921,2,6,1,172,120!95,0!3!177!131!198!0!0!6!0!20!0!0!0!0!0!0!0!0!4!131!80!12!58!0!80!4!0!64!0!8!0!0,110,0!0,0!0,109,0,0,0,110,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!60!0!80!50!0!0!0!0!2!0!3!0!2!3!5!5!4!4!3,1~1~1~1~1~5~5~4~5~5~2~2~4~5~5,0!0!0!0!108!0!257!0!114!257,0
#111,Rhyhorn,80~85~95~25~30~30,GROUND!ROCK,120,1,0~0~1~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_monster,egggroup.egg_group_field,ability.lightning_rod,ability.rock_head,ability.reckless,0,1,7,1,69,100!1150,0!128!224!143!135!0!97!2!28!16!2!0!5!0!0!0!0!0!103!135!48!156!137!0!0!66!8!24!128!64!0!0,111,0!0,0!0,111,0,0,0,111,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!70!20!0!0!0!0!2!0!2!0!2!2!4!4!3!3!3,1~1~1~1~1~5~5~3~4~4~2~2~3~4~4,0!0!0!0!30!0!89!0!30!89,0
#112,Rhydon,105~130~120~40~45~45,GROUND!ROCK,60,2,0~2~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_monster,egggroup.egg_group_field,ability.lightning_rod,ability.rock_head,ability.reckless,0,1,7,1,170,190!1200,63!131!224!143!151!10!97!10!31!16!2!0!15!0!0!0!0!0!127!135!48!157!137!64!0!66!9!152!128!65!8!0,112,0!0,0!0,111,0,0,0,112,0!14!0!16!0!19!0!25!0!30!0!0!0!0!30!0!50!0!90!50!0!0!0!0!3!0!2!0!3!2!4!4!3!3!2,1~1~1~1~1~5~5~3~4~5~2~2~3~4~5,0!0!0!0!444!0!89!0!444!89,0
#113,Chansey,250~5~5~50~35~105,NORMAL!NORMAL,0,0,2~0~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_140,EGR_FAST,egggroup.egg_group_fairy,egggroup.egg_group_fairy,ability.natural_cure,ability.serene_grace,ability.healer,0,0,0,1,395,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,113,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#114,Tangela,65~55~115~60~100~40,GRASS!GRASS,0,0,0~0~1~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_grass,egggroup.egg_group_grass,ability.chlorophyll,ability.leaf_guard,ability.regenerator,0,0,0,1,87,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,114,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#115,Kangaskhan,105~95~80~90~40~80,NORMAL!NORMAL,0,0,2~0~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_monster,egggroup.egg_group_monster,ability.early_bird,ability.scrappy,ability.inner_focus,0,0,0,1,172,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,115,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#116,Horsea,30~40~70~60~70~25,WATER!WATER,0,0,0~0~0~0~1~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_1,egggroup.egg_group_dragon,ability.swift_swim,ability.sniper,ability.damp,0,0,0,1,59,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,116,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#117,Seadra,55~65~95~85~95~45,WATER!WATER,0,0,0~0~1~0~1~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_1,egggroup.egg_group_dragon,ability.poison_point,ability.sniper,ability.damp,0,0,0,1,154,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,117,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#118,Goldeen,45~67~60~63~35~50,WATER!WATER,225,1,0~1~0~0~0~0~0,item.none,item.mystic_water,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_2,egggroup.egg_group_water_2,ability.swift_swim,ability.water_veil,ability.lightning_rod,0,1,0,1,64,60!150,0!0!32!139!154!33!48!0!0!16!0!0!1!0!0!0!0!0!123!16!17!28!0!32!0!2!0!0!144!128!0!0,118,0!0,0!0,118,0,0,0,118,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!90!50!0!0!0!0!2!0!1!0!2!1!3!3!3!6!4,1~1~1~2~2~5~5~3~3~3~2~2~3~3~3,0!0!0!0!48!0!392!0!48!392,0
#119,Seaking,80~92~65~68~65~80,WATER!WATER,60,2,0~2~0~0~0~0~0,item.none,item.mystic_water,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_2,egggroup.egg_group_water_2,ability.swift_swim,ability.water_veil,ability.lightning_rod,0,1,0,1,158,130!390,0!3!32!139!154!33!48!0!0!16!0!0!1!0!0!0!0!0!123!16!17!28!0!32!0!2!0!0!144!128!0!0,119,0!0,0!0,118,0,0,0,119,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!60!0!80!40!0!0!0!0!2!0!2!0!1!2!3!3!3!3!1,1~1~1~2~2~5~5~2~3~3~2~2~2~3~3,0!0!0!0!127!0!127!0!392!127,0
#120,Staryu,30~45~55~85~70~55,WATER!WATER,0,0,0~0~0~1~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_water_3,egggroup.egg_group_water_3,ability.illuminate,ability.natural_cure,ability.analytic,0,0,0,1,68,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,120,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#121,Starmie,60~75~85~115~100~85,WATER!PSYCHIC,0,0,0~0~0~2~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_water_3,egggroup.egg_group_water_3,ability.illuminate,ability.natural_cure,ability.analytic,0,0,0,1,182,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,121,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#122,Mr. Mime,40~45~65~90~100~120,PSYCHIC!FAIRY,45,2,0~0~0~0~0~2~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_human_like,egggroup.egg_group_human_like,ability.soundproof,ability.filter,ability.technician,922,2,9,1,161,130!545,59!79!174!171!134!10!0!186!192!17!0!26!0!0!0!0!0!0!2!75!16!110!110!65!2!0!51!32!14!16!0!0,122,0!0,0!0,122,1,1,0,122,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!35!0!0!0!0!1!0!3!0!1!3!5!5!5!4!4,1~1~1~1~1~5~5~5~5~6~2~2~5~5~6,0!0!0!0!113!0!605!0!219!605,0
#123,Scyther,70~110~80~105~55~80,BUG!FLYING,0,0,0~1~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_bug,egggroup.egg_group_bug,ability.swarm,ability.technician,ability.steadfast,0,0,0,1,100,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,123,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#124,Jynx,65~50~35~95~115~95,ICE!PSYCHIC,0,0,0~0~0~0~2~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_human_like,egggroup.egg_group_human_like,ability.oblivious,ability.forewarn,ability.dry_skin,0,0,0,1,159,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,124,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#125,Electabuzz,65~83~57~105~95~85,ELECTRIC!ELECTRIC,0,0,0~0~0~2~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_human_like,egggroup.egg_group_human_like,ability.ability_static,ability.ability_static,ability.vital_spirit,0,0,0,1,172,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,125,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#126,Magmar,65~95~57~93~100~85,FIRE!FIRE,0,0,0~0~0~0~2~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_10240,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_human_like,egggroup.egg_group_human_like,ability.flame_body,ability.flame_body,ability.vital_spirit,0,0,0,1,173,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,126,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#127,Pinsir,65~125~100~85~55~70,BUG!BUG,0,0,0~2~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_10240,BF_70,EGR_SLOW,egggroup.egg_group_bug,egggroup.egg_group_bug,ability.hyper_cutter,ability.mold_breaker,ability.moxie,0,0,0,1,175,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,127,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#128,Tauros,75~100~95~110~40~70,NORMAL!NORMAL,0,0,0~1~0~1~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_10240,BF_70,EGR_SLOW,egggroup.egg_group_field,egggroup.egg_group_field,ability.intimidate,ability.anger_point,ability.sheer_force,0,0,0,1,172,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,128,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#129,Magikarp,20~10~55~80~15~20,WATER!WATER,255,1,0~0~0~1~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_water_2,egggroup.egg_group_dragon,ability.swift_swim,ability.swift_swim,ability.rattled,0,1,0,1,40,90!100,0!0!0!0!0!0!16!0!0!0!0!0!0!0!0!0!0!0!8!0!0!0!0!0!0!0!0!0!0!0!0!0,129,0!0,0!0,129,0,0,0,129,0!14!0!16!0!19!0!25!0!30!0!0!0!0!100!0!80!0!100!30!0!0!0!0!1!0!2!0!1!2!10!8!8!6!6,1~1~1~1~1~5~5~1~1~6~2~2~1~1~6,0!0!0!0!150!0!175!0!150!175,0
#130,Gyarados,95~125~79~81~60~100,WATER!FLYING,45,2,0~2~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_water_2,egggroup.egg_group_dragon,ability.intimidate,ability.intimidate,ability.moxie,0,1,1,1,189,650!2350,0!67!32!143!155!32!144!2!9!16!2!0!2!0!0!0!0!0!126!135!17!141!41!32!8!68!0!13!16!2!0!0,130,0!0,0!0,129,0,0,0,130,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!30!0!0!0!0!1!0!2!0!3!2!3!3!2!3!1,1~1~1~2~2~5~5~4~4~4~2~2~4~4~4,0!0!0!0!349!0!56!0!349!56,0
#131,Lapras,130~85~80~60~85~95,WATER!ICE,45,2,2~0~0~0~0~0~0,item.mystic_water,item.mystic_water,item.none,GENDER_RATIO_M50_2F49_8,HATCH_CYCLES_5120,BF_70,EGR_SLOW,egggroup.egg_group_monster,egggroup.egg_group_water_1,ability.water_absorb,ability.shell_armor,ability.hydration,0,1,1,1,187,250!2200,0!3!40!171!154!98!128!0!1!16!2!0!1!0!0!0!0!0!122!11!17!157!4!4!8!64!32!4!128!0!12!0,131,0!0,0!0,131,0,0,0,131,0!14!0!16!0!19!0!25!0!30!0!0!0!0!30!0!60!0!90!50!0!0!0!0!1!0!2!0!2!2!6!6!6!5!4,1~1~1~1~1~5~5~4~5~5~2~2~4~5~5,0!0!0!0!195!0!791!0!196!791,0
#132,Ditto,48~48~48~48~48~48,NORMAL!NORMAL,35,2,1~0~0~0~0~0~0,item.quick_powder,item.metal_powder,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_ditto,egggroup.egg_group_ditto,ability.limber,ability.limber,ability.imposter,0,1,6,1,101,30!40,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,132,0!0,0!0,132,0,0,0,132,0!14!0!16!0!19!0!25!0!30!0!0!0!0!30!0!40!0!60!30!0!0!0!0!0!0!0!0!0!0!4!4!3!3!2,1~1~1~1~1~5~5~5~5~6~2~2~5~5~6,0!0!0!0!0!0!0!0!0!0,0
#133,Eevee,55~55~50~55~45~65,NORMAL!NORMAL,45,1,0~0~0~0~0~1~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_field,egggroup.egg_group_field,ability.run_away,ability.adaptability,ability.anticipation,0,1,5,1,65,30!65,4!128!32!163!134!195!0!0!0!144!0!0!0!0!0!0!0!0!2!32!16!172!2!4!0!0!0!0!36!0!0!0,133,0!0,387!702,133,0,0,0,133,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!40!0!0!0!0!2!0!3!0!2!3!4!4!4!4!2,1~1~1~1~2~5~5~3~4~5~2~2~3~4~5,0!0!0!0!204!0!28!0!204!28,0
#134,Vaporeon,130~65~60~65~110~95,WATER!WATER,45,2,2~0~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_field,egggroup.egg_group_field,ability.water_absorb,ability.water_absorb,ability.hydration,0,1,1,1,184,100!290,4!131!32!171!158!227!128!0!0!144!0!0!0!0!0!0!0!0!122!32!17!172!2!36!0!0!0!0!52!0!4!0,134,0!0,0!0,133,0,0,0,134,0!14!0!16!0!19!0!25!0!30!0!0!0!0!50!0!60!0!80!50!0!0!0!0!1!0!2!0!1!2!4!4!4!3!3,1~1~1~1~1~5~5~4~4~4~2~2~4~4~4,0!0!0!0!392!0!330!0!392!330,0
#135,Jolteon,65~65~60~130~110~95,ELECTRIC!ELECTRIC,45,2,0~0~0~2~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_field,egggroup.egg_group_field,ability.volt_absorb,ability.volt_absorb,ability.quick_feet,0,1,2,1,184,80!245,132!195!34!163!134!195!0!0!4!144!1!0!0!0!0!0!0!0!2!51!16!172!2!4!0!0!0!0!101!0!0!0,135,0!0,0!0,133,0,0,0,135,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!50!0!80!40!0!0!0!0!2!0!2!0!2!2!4!4!4!6!4,1~1~1~2~2~5~5~2~3~3~2~2~2~3~3,0!0!0!0!435!0!87!0!435!87,0
#136,Flareon,65~130~60~65~95~110,FIRE!FIRE,45,2,0~2~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_M88_14F11_86,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_field,egggroup.egg_group_field,ability.flash_fire,ability.flash_fire,ability.guts,0,1,0,1,184,90!250,4!163!32!167!198!195!0!0!16!144!0!16!0!0!0!0!0!0!6!160!16!172!146!12!128!0!0!0!36!0!0!0,136,0!0,0!0,133,0,0,0,136,0!14!0!16!0!19!0!25!0!30!0!0!0!0!40!0!60!0!80!20!0!0!0!0!2!0!2!0!2!2!4!4!4!4!3,1~1~1~1~1~5~5~4~4~5~2~2~4~4~5,0!0!0!0!436!0!394!0!436!394,0
#137,Porygon,65~60~70~40~85~75,NORMAL!NORMAL,0,0,0~0~0~0~1~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_mineral,egggroup.egg_group_mineral,ability.trace,ability.download,ability.analytic,0,0,0,1,79,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,137,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#138,Omanyte,35~40~100~35~90~55,ROCK!WATER,0,0,0~0~1~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_5120,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_1,egggroup.egg_group_water_3,ability.swift_swim,ability.shell_armor,ability.weak_armor,0,0,0,1,71,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,138,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#139,Omastar,70~60~125~55~115~70,ROCK!WATER,0,0,0~0~2~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_1,egggroup.egg_group_water_3,ability.swift_swim,ability.shell_armor,ability.weak_armor,0,0,0,1,173,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,139,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#140,Kabuto,30~80~90~55~55~45,ROCK!WATER,0,0,0~0~1~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_1,egggroup.egg_group_water_3,ability.swift_swim,ability.battle_armor,ability.weak_armor,0,0,0,1,71,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,140,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
#141,Kabutops,60~115~105~80~65~70,ROCK!WATER,0,0,0~2~0~0~0~0~0,item.none,item.none,item.none,GENDER_RATIO_GENDERLESS,HATCH_CYCLES_6400,BF_70,EGR_MEDIUM_FAST,egggroup.egg_group_water_1,egggroup.egg_group_water_3,ability.swift_swim,ability.battle_armor,ability.weak_armor,0,0,0,1,173,0!0,0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,0,0!0,0!0,0,0,0,0,141,0!1!0!1!0!1!0!1!0!1!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0!0,1~1~1~1~1~1~1~1~1~1~1~1~1~1~1,0!0!0!0!0!0!0!0!0!0,0
